name,url
Spezia Calcio,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522
FC Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749
Modena FC,https://www.transfermarkt.com/modena-fc-2018/startseite/verein/1385
Cesena FC,https://www.transfermarkt.com/cesena-fc/startseite/verein/1429
Frosinone Calcio,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970
SSC Bari,https://www.transfermarkt.com/ssc-bari/startseite/verein/332
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038
Mantova 1911,https://www.transfermarkt.com/mantova-1911/startseite/verein/2581
US Catanzaro,https://www.transfermarkt.com/us-catanzaro/startseite/verein/4097
US Avellino 1912,https://www.transfermarkt.com/us-avellino-1912/startseite/verein/2331
FC Südtirol,https://www.transfermarkt.com/fc-sudtirol/startseite/verein/4554
SS Juve Stabia,https://www.transfermarkt.com/ss-juve-stabia/startseite/verein/5587
Carrarese Calcio 1908,https://www.transfermarkt.com/carrarese-calcio-1908/startseite/verein/4159
AC Reggiana 1919,https://www.transfermarkt.com/ac-reggiana-1919/startseite/verein/5621
Calcio Padova,https://www.transfermarkt.com/calcio-padova/startseite/verein/3037
Virtus Entella,https://www.transfermarkt.com/virtus-entella/startseite/verein/20519
Delfino Pescara 1936,https://www.transfermarkt.com/delfino-pescara-1936/startseite/verein/2921
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27
RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826
Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15
Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16
Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24
VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79
VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82
SC Freiburg,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60
TSG 1899 Hoffenheim,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533
Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18
1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39
SV Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86
